$dn,destIpAddr,destinationIpPrefixLength,gateway,preSrcIpv4Addr,preSrcIpv4AddrDN,preference,routeIpMtu,triggerDN,destIpAddr,destinationIpPrefixLength,gateway,preSrcIpv4Addr,preSrcIpv4AddrDN,preference,routeIpMtu,triggerDN
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-1,10.219.202.128,25,10.39.75.225,,,1,,,10.138.0.192,26,10.39.75.225,,,1,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-10,10.124.178.217,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-11,10.124.178.221,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-12,10.124.177.33,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-13,10.124.177.37,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-14,10.154.111.1,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-15,10.154.111.5,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-16,10.124.182.61,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-17,10.124.183.13,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-2,10.248.24.129,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-22,10.154.98.96,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-23,10.154.98.100,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-24,10.154.98.44,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-25,10.154.98.48,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-3,10.248.24.137,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-4,10.248.23.193,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-5,10.248.23.201,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-6,10.124.200.97,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-7,10.124.200.105,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-8,10.124.201.1,32,10.39.75.225,10.218.137.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16119/TNLSVC-1/TNL-1/IPNO-1/IPRT-9,10.124.201.9,32,10.39.75.225,10.218.169.17,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-1,10.219.202.128,25,10.39.75.225,,,1,,,10.138.0.192,26,10.39.75.225,,,1,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-10,10.124.178.217,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-11,10.124.178.221,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-12,10.124.177.33,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-13,10.124.177.37,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-14,10.154.111.1,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-15,10.154.111.5,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-16,10.124.182.61,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-17,10.124.183.13,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-2,10.248.24.129,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-22,10.154.98.96,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-23,10.154.98.100,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-24,10.154.98.44,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-25,10.154.98.48,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-3,10.248.24.137,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-4,10.248.23.193,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-5,10.248.23.201,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-6,10.124.200.97,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-7,10.124.200.105,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-8,10.124.201.1,32,10.39.75.225,10.218.137.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-16121/TNLSVC-1/TNL-1/IPNO-1/IPRT-9,10.124.201.9,32,10.39.75.225,10.218.169.18,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-1,10.219.202.128,25,10.38.95.161,,,1,,,10.138.0.192,26,10.38.95.161,,,1,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-10,10.124.178.217,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-11,10.124.178.221,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-12,10.124.177.33,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-13,10.124.177.37,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-14,10.154.111.1,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-15,10.154.111.5,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-16,10.124.182.61,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-17,10.124.183.13,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-2,10.248.24.129,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-22,10.154.98.96,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-23,10.154.98.100,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-24,10.154.98.44,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-25,10.154.98.48,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-3,10.248.24.137,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-4,10.248.23.193,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-5,10.248.23.201,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-6,10.124.200.97,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-7,10.124.200.105,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-8,10.124.201.1,32,10.38.95.161,10.140.135.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17450/TNLSVC-1/TNL-1/IPNO-1/IPRT-9,10.124.201.9,32,10.38.95.161,10.140.167.123,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-1,10.219.202.128,25,10.139.87.1,,,1,,,10.138.0.192,26,10.139.87.1,,,1,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-10,10.124.178.217,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-11,10.124.178.221,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-12,10.124.177.33,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-13,10.124.177.37,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-14,10.154.111.1,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-15,10.154.111.5,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-16,10.124.182.61,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-17,10.124.183.13,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-2,10.248.24.129,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-22,10.154.98.96,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-23,10.154.98.100,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-24,10.154.98.44,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-25,10.154.98.48,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-3,10.248.24.137,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-4,10.248.23.193,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-5,10.248.23.193,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-6,10.124.200.97,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-7,10.124.200.105,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-8,10.124.201.1,32,10.139.87.1,10.140.137.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17634/TNLSVC-1/TNL-1/IPNO-1/IPRT-9,10.124.201.9,32,10.139.87.1,10.140.169.19,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-1,10.219.202.128,25,10.139.156.225,,,1,,,10.138.0.192,26,10.139.156.225,,,1,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-10,10.124.178.217,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-11,10.124.178.221,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-12,10.124.177.33,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-13,10.124.177.37,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-14,10.154.111.1,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-15,10.154.111.5,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-16,10.124.182.61,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-17,10.124.183.13,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-2,10.248.24.129,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-22,10.154.98.96,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-23,10.154.98.100,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-24,10.154.98.44,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-25,10.154.98.48,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-3,10.248.24.137,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-4,10.248.23.193,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-5,10.248.23.201,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-6,10.124.200.97,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-7,10.124.200.105,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-8,10.124.201.1,32,10.139.156.225,10.140.136.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPNO-1/IPRT-9,10.124.201.9,32,10.139.156.225,10.140.168.15,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-1,10.219.202.128,25,10.139.106.9,,,1,,,10.138.0.192,26,10.139.106.9,,,1,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-10,10.124.178.217,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-11,10.124.178.221,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-12,10.124.177.33,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-13,10.124.177.37,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-14,10.154.111.1,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-15,10.154.111.5,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-16,10.124.182.61,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-17,10.124.183.13,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-2,10.248.24.129,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-22,10.154.98.96,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-23,10.154.98.100,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-24,10.154.98.44,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-25,10.154.98.48,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-3,10.248.24.137,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-4,10.248.23.193,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-5,10.248.23.201,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-6,10.124.200.97,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-7,10.124.200.105,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-8,10.124.201.1,32,10.139.106.9,10.140.135.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPNO-1/IPRT-9,10.124.201.9,32,10.139.106.9,10.140.167.99,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-1,10.219.202.128,25,10.39.8.193,,,1,,,10.138.0.192,26,10.39.8.193,,,1,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-10,10.124.178.217,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-11,10.124.178.221,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-12,10.124.177.33,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-13,10.124.177.37,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-14,10.154.111.1,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-15,10.154.111.5,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-16,10.124.182.61,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-17,10.124.183.13,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-2,10.248.24.129,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-22,10.154.98.96,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-23,10.154.98.100,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-24,10.154.98.44,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-25,10.154.98.48,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-3,10.248.24.137,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-4,10.248.23.193,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-5,10.248.23.201,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-6,10.124.200.97,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-7,10.124.200.105,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-8,10.124.201.1,32,10.39.8.193,10.140.135.180,,1,,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPNO-1/IPRT-9,10.124.201.9,32,10.39.8.193,10.140.167.180,,1,,,,,,,,,,
